t_s,phase,cmd_erpm,actual_erpm,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,odom_x,odom_y,estop,ready,feedback
0.33750198600046133,run,-1000.0,-495.0,-0.015,-0.138,-0.05,0.1388128236151113,1.075166626255625,0.0,False,True,True
0.3811330859998634,run,-1000.0,-529.0,-0.015,-0.138,-0.05,0.1388128236151113,1.072681431918125,0.0,False,True,True
0.4364862460006407,run,-1000.0,-620.0,-0.018,-0.133,-0.047,0.13421251804507656,1.069767578037375,0.0,False,True,True
0.4771582720004517,run,-1000.0,-680.0,-0.018,-0.133,-0.047,0.13421251804507656,1.06510631746075,0.0,False,True,True
0.5217869409998457,run,-1000.0,-730.0,0.049,-0.162,0.013,0.16924833824885846,1.0615846272575,0.0,False,True,True
0.577472078000028,run,-1000.0,-808.0,0.049,-0.162,0.013,0.16924833824885846,1.056098484819625,0.0,False,True,True
0.6211332910006604,run,-1000.0,-829.0,0.049,-0.162,0.013,0.16924833824885846,1.0519232336056252,0.0,False,True,True
0.661653398999988,run,-1000.0,-820.0,-0.018,-0.164,0.045,0.16498484778912276,1.0478059017905004,0.0,False,True,True
0.716461807000087,run,-1000.0,-903.0,-0.018,-0.164,0.045,0.16498484778912276,1.0436069175680003,0.0,False,True,True
0.7568198990002202,run,-1000.0,-909.0,-0.022,-0.194,0.028,0.1952434377898525,1.0368136094592502,0.0,False,True,True
0.797026606000145,run,-1000.0,-898.0,-0.022,-0.194,0.028,0.1952434377898525,1.0321511685023752,0.0,False,True,True
0.8403507650000392,run,-1000.0,-981.0,-0.035,-0.192,-0.003,0.1951640335717624,1.0275628173726252,0.0,False,True,True
0.8825363740006651,run,-1000.0,-993.0,-0.035,-0.192,-0.003,0.1951640335717624,1.0226121394158754,0.0,False,True,True
0.9226798959998632,run,-1000.0,-987.0,-0.038,-0.209,-0.005,0.21242645786248002,1.0177241625880002,0.0,False,True,True
0.9705781020002178,run,-1000.0,-1111.0,-0.038,-0.209,-0.005,0.21242645786248002,1.0125549250471253,0.0,False,True,True
1.0164472590004152,run,-1000.0,-1118.0,-0.038,-0.209,-0.005,0.21242645786248002,1.0070939714001255,0.0,False,True,True
1.0588937100001203,run,-1000.0,-1167.0,-0.031,-0.293,-0.048,0.2946353678701863,0.9985014644185005,0.0,False,True,True
1.1019349810003405,run,-1000.0,-1259.0,-0.031,-0.293,-0.048,0.2946353678701863,0.9924437658152505,0.0,False,True,True
1.1571478209998531,run,-1000.0,-1212.0,-0.067,-0.256,0.008,0.2646223724479848,0.9832462188770006,0.0,False,True,True
