time_iso,gnss_mps,right_erpm,yaw_rate_rps,yaw_error_to_goal_rad,goal_distance_m
2026-09-18T00:54:27.232,0.010000,0.000,-0.003196,nan,nan
2026-09-18T00:54:27.432,0.019300,0.000,0.001065,nan,nan
2026-09-18T00:54:27.632,0.036100,0.000,-0.001065,nan,nan
2026-09-18T00:54:27.832,0.012700,0.000,0.003196,nan,nan
2026-09-18T00:54:28.032,0.034100,0.000,-0.001065,nan,nan
2026-09-18T00:54:28.232,0.042400,0.000,0.000000,nan,nan
2026-09-18T00:54:28.432,0.029500,0.000,0.000000,nan,nan
2026-09-18T00:54:28.632,0.043000,0.000,0.000000,nan,nan
2026-09-18T00:54:28.832,0.022600,0.000,0.000000,nan,nan
2026-09-18T00:54:29.032,0.009800,0.000,0.000000,nan,nan
2026-09-18T00:54:29.232,0.004100,0.000,0.000000,nan,nan
2026-09-18T00:54:29.432,0.000000,0.000,0.000000,nan,nan
2026-09-18T00:54:29.632,0.040100,0.000,0.000000,nan,nan
