wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877364.9468994,1788877364945852772,WAIT_MOVE,0,-173.2763671875,170.22197079080595,170.3119099676328,0,170.33986497454057,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.774100536938457,9.79708626253954,905.0,5535.0,3702.0,6720.123064349343,49.2,15.6,51.6,72.98328575776786
1788877364.9668853,1788877364965847578,WAIT_MOVE,0,-173.2763671875,170.24202243580604,170.31772126239792,0,170.33986497454057,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.793254150219706,9.816195025581749,908.0,5537.0,3685.0,6712.827869087662,49.2,15.6,51.6,72.98328575776786
1788877364.9881506,1788877364985839786,WAIT_MOVE,0,-173.2763671875,170.2623619748061,170.2257324364152,0,170.20406918176857,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.778888940258769,9.801863436886663,907.0,5543.0,3680.0,6714.9011906356445,48.9,15.299999999999999,51.6,72.71767323010273
1788877365.008357,1788877365005825109,WAIT_MOVE,0,-173.2763671875,170.2798905798062,170.22068962747662,0,170.20406918176857,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.778888940258769,9.80221416267464,907.0,5543.0,3688.0,6719.288801651555,48.9,15.299999999999999,51.6,72.71767323010273
1788877365.0267663,1788877365025849108,WAIT_MOVE,0,-173.2763671875,170.26224074480612,170.1399283744543,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,912.0,5543.0,3694.0,6723.260295422155,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.048193,1788877365045832746,WAIT_MOVE,0,-173.2763671875,170.228271937806,170.13820631448075,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,917.0,5549.0,3698.0,6731.0841623025335,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.0669448,1788877365065771690,WAIT_MOVE,0,-173.2763671875,170.22224472380597,170.13258665210657,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.778888940258769,9.802191556193963,919.0,5547.0,3699.0,6730.257870245389,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.0868146,1788877365085824541,WAIT_MOVE,0,-173.2763671875,170.2025758948059,170.29549734900183,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.778888940258769,9.801863436886663,914.0,5547.0,3682.0,6720.2476888876645,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.1081603,1788877365105958264,WAIT_MOVE,0,-173.2763671875,170.1990344488059,170.29652659443548,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04388287541807105,9.793254150219706,9.816852630846496,908.0,5551.0,3679.0,6721.094107360795,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.1266003,1788877365125817216,WAIT_MOVE,0,-173.2763671875,170.2026368108059,170.30326370506643,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.778888940258769,9.802171288817283,904.0,5545.0,3664.0,6707.394203414617,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.1469033,1788877365145820163,WAIT_MOVE,0,-173.2763671875,170.22621671380597,170.13771797860755,0,170.10016452104423,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.778888940258769,9.801843168831526,904.0,5544.0,3678.0,6714.22638879566,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.1666574,1788877365165830525,WAIT_MOVE,0,-173.2763671875,170.231601657806,170.13609251957527,0,170.10016452104423,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.778888940258769,9.801843168831526,898.0,5558.0,3697.0,6735.397315674852,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.1870131,1788877365185932582,WAIT_MOVE,0,-173.2763671875,170.225912546806,170.13007980016488,0,170.10016452104423,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.05345968205869605,9.769312133618145,9.792356699200145,901.0,5555.0,3701.0,6735.519801767344,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.209904,1788877365205868214,WAIT_MOVE,0,-173.2763671875,170.2048680158059,170.29621309754728,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.788465746899394,9.811397570105735,902.0,5547.0,3700.0,6728.507486805674,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.2272747,1788877365225814979,WAIT_MOVE,0,-173.2763671875,170.20153957080592,170.2966662031806,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.778888940258769,9.801843168831526,903.0,5541.0,3705.0,6726.4489145462185,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.2469037,1788877365245771889,WAIT_MOVE,0,-173.2763671875,170.2031254418059,170.302276519905,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.783677343579082,9.806314989912936,907.0,5542.0,3712.0,6731.6682182056475,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.2666516,1788877365265854499,WAIT_MOVE,0,-173.2763671875,170.22276156380596,170.13603623988584,0,170.09892849833713,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.778888940258769,9.801863436886663,917.0,5537.0,3710.0,6727.804842591676,49.2,15.299999999999999,51.0,72.49641370440334
1788877365.28888,1788877365286079702,WAIT_MOVE,0,-173.2763671875,170.22266985280595,170.12861161949183,0,170.09892849833713,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.769312133618145,9.792309099161397,906.0,5533.0,3711.0,6723.573900835775,49.2,15.299999999999999,51.0,72.49641370440334
1788877365.3074148,1788877365305824554,WAIT_MOVE,0,-173.2763671875,170.22266985280595,170.12861161949183,0,170.09892849833713,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.778888940258769,9.80221416267464,909.0,5533.0,3684.0,6709.115142848571,49.2,15.299999999999999,51.0,72.49641370440334
1788877365.3266668,1788877365325844335,WAIT_MOVE,0,-173.2763671875,170.2028194398059,170.29621276040473,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.793254150219706,9.815869710266329,907.0,5546.0,3670.0,6711.904722208145,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.3473825,1788877365345841163,WAIT_MOVE,0,-173.2763671875,170.20153839080592,170.29672739941745,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.769312133618145,9.79263753860336,907.0,5549.0,3666.0,6712.1982986202065,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.3669827,1788877365365767239,WAIT_MOVE,0,-173.2763671875,170.20333962880594,170.30253025090244,0,170.3340824937685,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.05345968205869605,9.774100536938457,9.797462117070749,913.0,5555.0,3681.0,6726.169415053415,49.2,15.6,51.29999999999999,72.77149167084593
1788877365.3869324,1788877365385861878,WAIT_MOVE,0,-173.2763671875,170.22364962280602,170.38478988668152,0,170.43480606728173,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.774100536938457,9.797065984601442,909.0,5561.0,3684.0,6732.225337880484,48.9,15.6,51.6,72.78138498270008
1788877365.4070253,1788877365405808739,WAIT_MOVE,0,-173.2763671875,170.25974935180614,170.38617909646547,0,170.43480606728173,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.03430606877744605,9.783677343579082,9.807260692355685,914.0,5568.0,3683.0,6738.138392761015,48.9,15.6,51.6,72.78138498270008
