state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
STATIC_3,3,-2127.0,8410.0,3422.0,-5.71899,-39.502,-28.8574
STATIC_3,3,-2126.0,8424.0,3347.0,-5.76477,-39.3799,-28.7598
STATIC_3,3,-2133.0,8413.0,3364.0,-5.72815,-39.502,-28.833
STATIC_3,3,-2136.0,8424.0,3347.0,-5.75867,-39.3799,-28.7598
STATIC_3,3,-2140.0,8437.0,3358.0,-5.73425,-39.5996,-28.7598
STATIC_3,3,-2135.0,8435.0,3310.0,-5.74951,-39.3311,-28.7354
STATIC_3,3,-2128.0,8435.0,3375.0,-5.72815,-39.502,-28.7354
STATIC_3,3,-2139.0,8433.0,3391.0,-5.75562,-39.3555,-28.7109
STATIC_3,3,-2129.0,8426.0,3401.0,-5.74646,-39.502,-28.833
STATIC_3,3,-2127.0,8398.0,3407.0,-5.74036,-39.502,-28.7842
STATIC_3,3,-2145.0,8408.0,3366.0,-5.75867,-39.502,-28.8086
STATIC_3,3,-2140.0,8417.0,3346.0,-5.74341,-39.4531,-28.7842
STATIC_3,3,-2142.0,8430.0,3308.0,-5.75562,-39.502,-28.8818
STATIC_3,3,-2149.0,8424.0,3352.0,-5.75562,-39.4531,-28.8086
STATIC_3,3,-2130.0,8418.0,3364.0,-5.74341,-39.502,-28.8086
STATIC_4,4,-7232.0,7466.0,3844.0,-35.6689,-28.9062,-24.6704
STATIC_4,4,-7231.0,7453.0,3798.0,-35.6445,-29.0283,-24.6582
STATIC_4,4,-7247.0,7461.0,3813.0,-35.6689,-28.9795,-24.6338
STATIC_4,4,-7231.0,7449.0,3975.0,-35.6445,-28.9795,-24.6704
STATIC_4,4,-7231.0,7456.0,3729.0,-35.6689,-29.0771,-24.6948
STATIC_4,4,-7238.0,7462.0,3725.0,-35.7178,-28.9795,-24.7192
STATIC_4,4,-7221.0,7455.0,3691.0,-35.7178,-28.9795,-24.7192
STATIC_4,4,-7218.0,7437.0,3707.0,-35.6689,-29.1016,-24.707
STATIC_4,4,-7234.0,7451.0,3656.0,-35.6445,-29.1504,-24.707
STATIC_4,4,-7230.0,7459.0,3691.0,-35.6201,-29.1748,-24.585
STATIC_4,4,-7220.0,7467.0,3754.0,-35.6445,-29.2236,-24.7437
STATIC_4,4,-7237.0,7479.0,3770.0,-35.5957,-29.2236,-24.5483
STATIC_4,4,-7218.0,7470.0,3710.0,-35.6201,-29.126,-24.5605
STATIC_4,4,-7202.0,7475.0,3767.0,-35.5713,-29.126,-24.5728
STATIC_4,4,-7218.0,7451.0,3828.0,-35.6201,-29.0527,-24.4751
STATIC_4,4,-7232.0,7446.0,3840.0,-35.6934,-28.9551,-24.6094
STATIC_4,4,-7270.0,7446.0,3835.0,-35.7666,-28.9307,-24.4263
STATIC_4,4,-7306.0,7397.0,3822.0,-35.9863,-28.5889,-24.6094
STATIC_4,4,-7349.0,7374.0,3760.0,-36.084,-28.3447,-24.4629
STATIC_4,4,-7342.0,7366.0,3777.0,-36.084,-28.5156,-24.5483
STATIC_4,4,-7338.0,7378.0,3738.0,-36.0107,-28.5889,-24.6094
STATIC_4,4,-7335.0,7370.0,3777.0,-36.0352,-28.5645,-24.5483
STATIC_4,4,-7342.0,7378.0,3762.0,-36.0596,-28.5645,-24.6704
STATIC_4,4,-7331.0,7365.0,3844.0,-36.0107,-28.4912,-24.5117
STATIC_4,4,-7333.0,7380.0,3807.0,-36.0107,-28.5645,-24.6094
STATIC_4,4,-7322.0,7360.0,3755.0,-36.0107,-28.4912,-24.5483
STATIC_4,4,-7321.0,7373.0,3718.0,-35.9863,-28.6133,-24.5117
STATIC_4,4,-7299.0,7385.0,3755.0,-35.9619,-28.5645,-24.585
STATIC_4,4,-7299.0,7406.0,3783.0,-35.8887,-28.5645,-24.4141
STATIC_4,4,-7289.0,7404.0,3780.0,-35.9131,-28.7598,-24.6338
STATIC_4,4,-7289.0,7409.0,3820.0,-35.8887,-28.6621,-24.5117
STATIC_4,4,-7288.0,7415.0,3853.0,-35.8887,-28.7598,-24.6216
STATIC_4,4,-7279.0,7395.0,3879.0,-35.9131,-28.6865,-24.5605
STATIC_4,4,-7295.0,7419.0,3908.0,-35.8643,-28.8086,-24.5605
STATIC_4,4,-7293.0,7412.0,3778.0,-35.9131,-28.7354,-24.4873
STATIC_4,4,-7288.0,7396.0,3772.0,-35.8887,-28.7354,-24.5361
