wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_ut,yah_mag_y_ut,yah_mag_z_ut,yah_mag_norm_ut,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788873834.8928022,1788873834889986977,STATIC_5,5,49.6423528161189,-23.66011505502503,nan,0,-48.0475206338488,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3698061320466443,0.14922774846494605,9.793254150219706,9.80136992195513,-575.5,665.9,392.90000000000003,963.8430733267735,-30.9,-12.6,48.3,58.70655840704682
1788873834.9129872,1788873834910237524,STATIC_5,5,49.6862981286189,-23.66011505502503,nan,0,-48.03190065631596,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3650177287263318,0.15401615178525854,9.788465746899394,9.796480010468963,-577.1,665.8,394.7,965.4647274758411,-30.9,-12.6,48.0,58.45998631542775
1788873834.9317658,1788873834929990766,STATIC_5,5,49.72475027705641,-23.66011505502503,nan,0,-48.03190065631596,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.15401615178525854,9.79804255354002,9.806410144488073,-576.6999999999999,665.2,397.49999999999994,965.960754896388,-30.9,-12.6,48.0,58.45998631542775
1788873834.9517615,1788873834949986438,STATIC_5,5,49.76320242549391,-23.66011505502503,nan,0,-48.03190065631596,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.15880455510557104,9.793254150219706,9.801702240093022,-575.6,665.3,402.09999999999997,967.276516824429,-30.9,-12.6,48.0,58.45998631542775
1788873834.9711165,1788873834969986636,STATIC_5,5,49.8071477379939,-23.66011505502503,nan,0,-48.296811346683896,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3793829386872693,0.15880455510557104,9.778888940258769,9.787533867466541,-576.0,665.9,399.4,966.8087556492236,-31.2,-12.9,48.0,58.68432499398796
1788873834.9932163,1788873834989959848,STATIC_5,5,49.8455998864314,-23.66011505502503,nan,0,-48.296811346683896,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3793829386872693,0.15880455510557104,9.812407763500957,9.821023185905995,-576.2,665.9999999999999,397.3,966.1313213016127,-31.2,-12.9,48.0,58.68432499398796
1788873835.0118454,1788873835010072793,STATIC_5,5,49.8785588708064,-23.66011505502503,nan,0,-48.296811346683896,-0.0,-0.0,-0.0,0.0,-0.3793829386872693,0.17316976506650855,9.79804255354002,9.80691373790354,-575.3,666.8,395.1,965.2441867216812,-31.2,-12.9,48.0,58.68432499398796
1788873835.0309687,1788873835030020377,STATIC_5,5,49.91701101924391,-23.66011505502503,nan,0,-47.76784685069539,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3745945353669568,0.16359295842588353,9.783677343579082,9.792212522470903,-574.4999999999999,665.8,391.2,962.484976506127,-31.2,-12.6,47.1,57.884453871484354
1788873835.0519302,1788873835050078441,STATIC_5,5,49.9554631676814,-23.66011505502503,nan,0,-47.76784685069539,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3793829386872693,0.17316976506650855,9.79804255354002,9.80691373790354,-574.4,666.5999999999999,392.2,963.3855718246978,-31.2,-12.6,47.1,57.884453871484354
1788873835.0725856,1788873835070015803,STATIC_5,5,49.98842215205641,-23.66011505502503,nan,0,-47.76784685069539,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.15401615178525854,9.812407763500957,9.820763114857796,-575.2,667.0,397.4,966.2664228876009,-31.2,-12.6,47.1,57.884453871484354
1788873835.0915942,1788873835089967992,STATIC_5,5,50.021381136431394,-23.66011505502503,nan,0,-48.24475815892727,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3841713420075818,0.15401615178525854,9.788465746899394,9.79721237257075,-575.6,667.3,397.7,966.8350117781213,-30.599999999999998,-12.6,47.7,58.0552323223325
1788873835.111371,1788873835110166428,STATIC_5,5,50.0598332848689,-23.66011505502503,nan,0,-48.24475815892727,-0.0010652644360316951,-0.0010652644360316951,-0.0,0.0015065114129497496,-0.3698061320466443,0.14922774846494605,9.79804255354002,9.806154362296784,-574.4999999999999,667.4,398.5,966.5791535099439,-30.599999999999998,-12.6,47.7,58.0552323223325
1788873835.1316953,1788873835130017229,STATIC_5,5,50.0927922692439,-23.66011505502503,nan,0,-48.24475815892727,-0.0,-0.0,-0.0,0.0,-0.3698061320466443,0.14443934514463355,9.802830956860332,9.810867141517326,-575.2,667.5,399.59999999999997,967.5181910434552,-30.599999999999998,-12.6,47.7,58.0552323223325
1788873835.1522868,1788873835150500624,STATIC_5,5,50.1257512536189,-23.66011505502503,nan,0,-48.0667749467676,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3793829386872693,0.14443934514463355,9.783677343579082,9.792095613394277,-575.0999999999999,666.5,399.69999999999993,966.8104002336755,-30.9,-12.6,48.6,58.95362584269096
1788873835.1729999,1788873835169992749,STATIC_5,5,50.16420340205641,-23.66011505502503,nan,0,-48.0667749467676,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3650177287263318,0.13486253850400853,9.79804255354002,9.805766860758892,-575.2,665.9,397.4,965.5074365327282,-30.9,-12.6,48.6,58.95362584269096
1788873835.1914477,1788873835189987044,STATIC_5,5,50.19716238643141,-23.66011505502503,nan,0,-48.0667749467676,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3650177287263318,0.14922774846494605,9.802830956860332,9.810759482933811,-576.0,665.0,397.49999999999994,965.4052257989906,-30.9,-12.6,48.6,58.95362584269096
1788873835.2115285,1788873835210084580,STATIC_5,5,50.2356145348689,-23.66011505502503,nan,0,-47.81416977982401,-0.0,-0.0,-0.0,0.0,-0.3698061320466443,0.15880455510557104,9.793254150219706,9.801520408223261,-576.2,664.6999999999999,394.8,964.2092978186843,-31.2,-12.6,48.0,58.61910951217188
1788873835.2318766,1788873835229995672,STATIC_5,5,50.268573519243894,-23.66011505502503,nan,0,-47.81416977982401,-0.0,-0.0,-0.0,0.0,-0.3841713420075818,0.15880455510557104,9.802830956860332,9.811641110207885,-576.3,665.2,392.6,963.7154611191003,-31.2,-12.6,48.0,58.61910951217188
1788873835.253065,1788873835249996643,STATIC_5,5,50.301532503618894,-23.66011505502503,nan,0,-47.81416977982401,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3698061320466443,0.16359295842588353,9.79804255354002,9.806383487929017,-577.3,665.5999999999999,395.19999999999993,965.650915186228,-31.2,-12.6,48.0,58.61910951217188
1788873835.2713177,1788873835270009562,STATIC_5,5,50.334491487993915,-23.66011505502503,nan,0,-48.5564386171104,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.16359295842588353,9.793254150219706,9.80178098983898,-576.5999999999999,665.2,397.2,965.777634862187,-30.9,-12.9,48.6,59.01847168471919
1788873835.2925787,1788873835289996661,STATIC_5,5,50.3674504723689,-23.66011505502503,nan,0,-48.5564386171104,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3793829386872693,0.15880455510557104,9.802830956860332,9.811454788647223,-576.6999999999999,666.1999999999999,399.1,967.3087097716012,-30.9,-12.9,48.6,59.01847168471919
