wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,map_yaw_from_enu_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877606.4151022,1788877606414039078,WAIT_MOVE,0,-173.2763671875,170.1157995492836,170.10074701836024,0,170.10074701836024,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.783677343579082,9.806991177129031,902.0,5543.0,3701.0,6725.760477447885,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877606.4348736,1788877606433968595,WAIT_MOVE,0,-173.2763671875,170.10074701836024,170.0982687144816,0,170.0982687144816,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.783677343579082,9.806991177129031,906.0,5538.0,3688.0,6715.029709539638,49.2,15.299999999999999,50.699999999999996,72.28568322980699
1788877606.4549491,1788877606453931602,WAIT_MOVE,0,-173.2763671875,170.0982687144816,170.0982687144816,0,170.0982687144816,0.0,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04867127873838355,9.774100536938457,9.797767767086643,912.0,5538.0,3690.0,6716.940374902847,49.2,15.299999999999999,50.699999999999996,72.28568322980699
1788877606.474752,1788877606473938269,WAIT_MOVE,0,-173.2763671875,170.0982687144816,170.0982687144816,0,170.0982687144816,0.0,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04867127873838355,9.783677343579082,9.80633758688789,915.0,5541.0,3686.0,6717.626217645635,49.2,15.299999999999999,50.699999999999996,72.28568322980699
1788877606.495768,1788877606493914489,WAIT_MOVE,0,-173.2763671875,170.0982687144816,170.17157836736996,0,170.19759858262964,0.0,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.774100536938457,9.79708626253954,917.0,5553.0,3690.0,6729.992421986818,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.5163798,1788877606513946275,WAIT_MOVE,0,-173.2763671875,170.10652781748163,170.17535875325308,0,170.19759858262964,0.0,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.788465746899394,9.81141781842375,914.0,5562.0,3688.0,6735.917457926574,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.5350537,1788877606533934898,WAIT_MOVE,0,-173.2763671875,170.1197591724817,170.18072830835865,0,170.19759858262964,0.0,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.03909447209775855,9.783677343579082,9.807278611277368,914.0,5556.0,3681.0,6727.131112145801,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.5547879,1788877606553928385,WAIT_MOVE,0,-173.2763671875,170.13855261948174,170.3569957613476,0,170.43261834482308,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.778888940258769,9.802171288817283,911.0,5546.0,3682.0,6719.014883150654,48.9,15.6,51.0,72.35723875328577
1788877606.5764983,1788877606573938749,WAIT_MOVE,0,-173.2763671875,170.16793901448185,170.35985187322362,0,170.43261834482308,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03430606877744605,9.788465746899394,9.811707459776187,921.0,5538.0,3674.0,6709.393489727667,48.9,15.6,51.0,72.35723875328577
1788877606.5968611,1788877606594197446,WAIT_MOVE,0,-173.2763671875,170.1779354374819,170.36579266182682,0,170.43261834482308,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.778888940258769,9.802191556193963,912.0,5537.0,3668.0,6704.053773650686,48.9,15.6,51.0,72.35723875328577
1788877606.616278,1788877606614215031,WAIT_MOVE,0,-173.2763671875,170.19872825548197,170.1322016327939,0,170.09892849833713,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.778888940258769,9.802191556193963,903.0,5552.0,3661.0,6711.410730986445,49.2,15.299999999999999,51.0,72.49641370440334
1788877606.6353621,1788877606633941829,WAIT_MOVE,0,-173.2763671875,170.215384493482,170.1280448968219,0,170.09892849833713,0.0,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.774100536938457,9.796760312690575,904.0,5555.0,3666.0,6716.754945656422,49.2,15.299999999999999,51.0,72.49641370440334
1788877606.6564546,1788877606653982557,WAIT_MOVE,0,-173.2763671875,170.20083590948195,170.12269860325006,0,170.09892849833713,0.0,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04867127873838355,9.783677343579082,9.807321462807467,904.0,5556.0,3656.0,6712.129915310043,49.2,15.299999999999999,51.0,72.49641370440334
1788877606.6766305,1788877606673935420,WAIT_MOVE,0,-173.2763671875,170.1555223234818,170.11393410971834,0,170.10264021139696,0.0,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.774100536938457,9.796760312690575,901.0,5556.0,3646.0,6706.284589845558,49.2,15.299999999999999,51.89999999999999,73.13234578488509
1788877606.696248,1788877606694003179,WAIT_MOVE,0,-173.2763671875,170.1555223234818,170.11393410971834,0,170.10264021139696,0.0,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03430606877744605,9.774100536938457,9.797376327577991,905.0,5561.0,3653.0,6714.7714034060755,49.2,15.299999999999999,51.89999999999999,73.13234578488509
1788877606.7174535,1788877606713926153,WAIT_MOVE,0,-173.2763671875,170.14216885648176,170.10810288567583,0,170.10264021139696,0.0,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.788465746899394,9.811440403646253,902.0,5561.0,3661.0,6718.7235394827785,49.2,15.299999999999999,51.89999999999999,73.13234578488509
1788877606.736795,1788877606733925418,WAIT_MOVE,0,-173.2763671875,170.12175957148168,170.17077494287236,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.788465746899394,9.811745618218383,901.0,5557.0,3681.0,6726.203312419273,48.9,15.299999999999999,50.699999999999996,72.08182850066999
