t_s,tf_x,tf_y,tf_yaw,local_x,local_y,local_yaw,local_vx,global_x,global_y,global_yaw,global_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_speed,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,goal_state,gate,ready,feedback,estop
1.410469938999995,nan,nan,nan,nan,nan,nan,nan,127.16082866021354,101.66191556708044,-0.28058262589624583,0.01765496570344438,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.456130874000337,nan,nan,nan,nan,nan,nan,nan,127.16082866021354,101.66191556708044,-0.28058262589624583,0.01765496570344438,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.5105094939999617,nan,nan,nan,nan,nan,nan,nan,127.16191693554678,101.65595769531625,-0.2802590615697502,0.01928772445606588,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.5552457809999396,nan,nan,nan,nan,nan,nan,nan,127.16191693554678,101.65595769531625,-0.2802590615697502,0.01928772445606588,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.6103603210003712,nan,nan,nan,nan,nan,nan,nan,127.16290069432208,101.65101050714885,-0.28042747514775,0.02055975393851566,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.6506726890002028,nan,nan,nan,nan,nan,nan,nan,127.16290069432208,101.65101050714885,-0.28042747514775,0.02055975393851566,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.6934854010005438,nan,nan,nan,nan,nan,nan,nan,127.1615588122754,101.64469886491338,-0.28022646775031124,0.02036906813746894,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,NAV2,,,True,True,
1.7341286800001399,127.5896592289033,100.63539738416404,0.007296664785654716,0.0,0.0,0.007296664785654716,0.0,127.1615588122754,101.64469886491338,-0.28022646775031124,0.02036906813746894,0.0,0.0,0.0,0.0,0.023,-0.023,0.03252691193458119,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,ACTIVE,True,True,True,False
1.775986911000473,127.58965922890329,100.63539738416402,0.007296664785654716,0.0,0.0,0.007296664785654716,0.0,127.1615588122754,101.64469886491338,-0.28022646775031124,0.02036906813746894,0.0,0.0,0.0,0.0,0.023,-0.023,0.03252691193458119,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,ACTIVE,True,True,True,False
1.8254477360005694,127.58965922890329,100.63539738416402,0.007296664785654716,0.0,0.0,0.007296664785654716,0.0,127.1604068463387,101.63946469737652,-0.28050165928001736,0.02009578929769435,0.0,0.0,0.0,0.0,-0.067,0.055,0.08668333173107734,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,ACTIVE,True,True,True,False
1.8708935860004203,127.58965922890329,100.63539738416401,0.007296664785654716,0.0,0.0,0.007296664785654716,0.0,127.1604068463387,101.63946469737652,-0.28050165928001736,0.02009578929769435,0.0,0.0,0.0,0.0,-0.067,0.055,0.08668333173107734,0.0,0.0,0.0,0.0,0.0,0.0,NAV2,ACTIVE,True,True,True,False
