wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591954.5342548,STATIC_3,3,-2490.0,4585.0,3288.0,-6.86035,-20.2148,-29.7119
1789591954.63456,STATIC_3,3,-2477.0,4578.0,3318.0,-6.81763,-20.2393,-29.6387
1789591954.7350326,STATIC_3,3,-2483.0,4591.0,3354.0,-6.81152,-20.2637,-29.6143
1789591954.8376923,STATIC_3,3,-2481.0,4582.0,3291.0,-6.86035,-20.2148,-29.834
1789591954.9382858,STATIC_3,3,-2482.0,4584.0,3297.0,-6.81763,-20.2881,-29.5898
1789591955.0387185,STATIC_3,3,-2483.0,4573.0,3197.0,-6.84814,-20.0684,-29.5898
1789591955.1569781,STATIC_3,3,-2501.0,4566.0,3279.0,-6.75049,-20.3613,-29.9316
1789591955.2571468,STATIC_3,3,-2495.0,4590.0,3192.0,-6.84814,-20.1294,-29.6387
1789591955.3572476,STATIC_3,3,-2483.0,4597.0,3274.0,-6.82983,-20.3247,-29.8584
1789591955.4763114,STATIC_3,3,-2492.0,4587.0,3316.0,-6.82373,-20.1904,-29.6143
1789591955.5765376,STATIC_3,3,-2481.0,4587.0,3315.0,-6.85425,-20.2759,-30.0293
1789591955.6772568,STATIC_3,3,-2475.0,4591.0,3259.0,-6.86035,-20.0928,-29.6387
1789591955.7866135,STATIC_3,3,-2489.0,4579.0,3285.0,-6.82373,-20.2637,-29.7363
1789591955.8954244,STATIC_3,3,-2486.0,4567.0,3262.0,-6.88477,-20.2515,-29.6875
1789591955.9962857,STATIC_3,3,-2479.0,4587.0,3207.0,-6.81763,-20.2759,-29.7607
1789591956.1149862,STATIC_3,3,-2480.0,4575.0,3203.0,-6.89697,-20.2393,-29.6875
1789591956.2152438,STATIC_3,3,-2491.0,4582.0,3177.0,-6.83594,-20.2759,-29.834
1789591956.3152452,STATIC_3,3,-2503.0,4576.0,3134.0,-6.82373,-20.2759,-29.7363
1789591956.4158332,STATIC_3,3,-2497.0,4580.0,3238.0,-6.87256,-20.1904,-30.0293
1789591956.5332718,STATIC_3,3,-2498.0,4585.0,3329.0,-6.82983,-20.2637,-29.8584
1789591956.6338575,STATIC_3,3,-2505.0,4587.0,3220.0,-6.97021,-20.0928,-29.7363
1789591956.7343693,STATIC_3,3,-2499.0,4576.0,3150.0,-6.98853,-20.0073,-29.7852
1789591961.3452268,STATIC_4,4,-4903.0,4072.0,3749.0,-28.9551,-21.5942,-37.3047
1789591961.463552,STATIC_4,4,-4951.0,4072.0,3734.0,-29.4922,-21.4966,-36.792
1789591961.564281,STATIC_4,4,-5014.0,4077.0,3746.0,-30.0049,-21.2524,-35.9131
1789591961.6675265,STATIC_4,4,-5005.0,4075.0,3729.0,-29.9316,-21.4111,-36.2549
1789591961.7828858,STATIC_4,4,-5001.0,4080.0,3733.0,-29.9805,-21.2524,-35.9375
1789591961.88328,STATIC_4,4,-5020.0,4075.0,3739.0,-30.0293,-21.2769,-36.1084
1789591961.983357,STATIC_4,4,-5021.0,4072.0,3779.0,-30.0781,-21.2402,-35.8887
