t_s,map_x,map_y,map_yaw,map_vx,local_x,local_y,local_yaw,local_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,estop,ready,feedback,autonomy_gate,heading_valid,yaw_inertial,yaw_neo3,distance_remaining
16.815550154999983,132.11418506199405,106.04121663051214,-1.4611989703187604,0.093268988740118,5.738500992727366,-3.1168940595636663,-1.2334468379173986,0.4910825709785309,5.07050476019956,-3.7347075114122052,-1.4906872944415985,0.49673405701642787,0.475,0.203,-0.052,0.5165597738887533,0.46838292479515076,-0.07741647958755493,0.46838292479515076,0.49673405701642787,2191.0,0.13695403163523284,NAV2,False,True,True,True,,,0.1430076669718951,10.127939224243164
16.85880830499991,132.15285669024388,106.04037002111122,-1.468057796285285,0.09456479687206161,5.749282231118613,-3.1478547529661838,-1.238818644601907,0.49238674937834204,5.072036929201751,-3.7544865137565484,-1.494420494308588,0.4901593022681502,0.475,0.203,-0.052,0.5165597738887533,0.46838292479515076,-0.07741647958755493,0.46838292479515076,0.4901593022681502,2222.0,0.13723244655751096,NAV2,False,True,True,True,,,0.13642030779542608,9.913909912109375
16.898884156999884,132.15285669024388,106.04037002111122,-1.468057796285285,0.09456479687206161,5.754631799054543,-3.163423392790657,-1.2415611833076527,0.49322002255616465,5.07350646105263,-3.7744298379304633,-1.4981836209689754,0.5037622431266557,0.486,0.043,0.032,0.4878985550296291,0.4688456654548645,-0.0765492245554924,0.4688456654548645,0.5037622431266557,2191.0,0.13695403163523284,NAV2,False,True,True,True,,,0.13272454312834722,9.913909912109375
16.939431856999363,132.1930747339749,106.03948959999268,-1.4729545141472777,0.09590537943009171,5.759940206465033,-3.1790173001358735,-1.2444777697844773,0.49388350702385103,5.074892270131057,-3.794248337261149,-1.5019185567343092,0.49673405701642787,0.486,0.043,0.032,0.4878985550296291,0.4688456654548645,-0.0765492245554924,0.4688456654548645,0.49673405701642787,2133.0,0.13695403163523284,NAV2,False,True,True,True,,,0.12867325490543763,9.913909912109375
16.97954278599991,132.1930747339749,106.03948959999268,-1.4729545141472777,0.09590537943009171,5.765190399302242,-3.1945867406851383,-1.2474199205878147,0.49441119916405196,5.076768441814667,-3.822956090525114,-1.507341267319776,0.4772365084525699,0.326,0.138,-0.006,0.3540056496724311,0.4694502055644989,-0.07534807175397873,0.4694502055644989,0.48358454751987245,2105.0,0.13723244655751096,NAV2,False,True,True,True,,,0.1236442087371857,9.913909912109375
17.021746860999883,132.23679542264026,106.03437438984754,-1.476122191664259,0.10092903041375047,5.775575720378128,-3.225803465601218,-1.2523910139068504,0.49500885628563457,5.077361523535969,-3.832564790110593,-1.5091511205105406,0.4772365084525699,0.326,0.138,-0.006,0.3540056496724311,0.4694502055644989,-0.07534807175397873,0.4694502055644989,0.4772365084525699,2051.0,0.13695403163523284,NAV2,False,True,True,True,,,0.11751903260692656,9.913909912109375
17.064301574999263,132.23679542264026,106.03437438984754,-1.476122191664259,0.10092903041375047,5.780660173641197,-3.24126614611286,-1.2547667389623627,0.4946658185621791,5.0789790147928935,-3.8603356623772096,-1.5143467980737326,0.4649938616799149,0.326,0.138,-0.006,0.3540056496724311,0.4694502055644989,-0.07534807175397873,0.4694502055644989,0.4649938616799149,2000.0,0.1358405581145738,NAV2,False,True,True,True,,,0.11221822814056553,9.913909912109375
17.109716092999406,132.23679542264026,106.03437438984754,-1.476122191664259,0.10092903041375047,5.784845618084794,-3.254090660753247,-1.2578620446738091,0.4819766477273253,5.07995825995287,-3.878482877335258,-1.517733182428265,0.4534313619501852,0.642,-0.031,0.072,0.642748006609122,0.4694502055644989,-0.07534807175397873,0.4694502055644989,0.4534313619501852,2000.0,0.13556223627652247,NAV2,False,True,True,True,,,0.1099844244393216,9.913909912109375
17.149932364999586,132.28172979130906,106.03014723428967,-1.4776849427806182,0.10560125912231874,5.7936234621060025,-3.281436015685846,-1.2633984277172492,0.46951374195278656,5.08090854027206,-3.8973111750587686,-1.5212425336483566,0.4649938616799149,0.642,-0.031,0.072,0.642748006609122,0.470142662525177,-0.07411675155162811,0.470142662525177,0.4649938616799149,2000.0,0.13556223627652247,NAV2,False,True,True,True,,,0.10520971770806477,9.913909912109375
17.195460117999573,132.28172979130906,106.03014723428967,-1.4776849427806182,0.10560125912231874,5.798130994668091,-3.29567000311497,-1.2656942818777681,0.46669148899285806,5.081740774949224,-3.9149735279009525,-1.5245340308089528,0.4534313619501852,0.322,0.089,0.003,0.33407334524023313,0.470142662525177,-0.07411675155162811,0.470142662525177,0.4534313619501852,2025.0,0.13556223627652247,NAV2,False,True,True,True,,,0.10144188056338005,9.913909912109375
